date,year,country_code,name,description,primary_type,types,locations,strength
5/25/09,2009,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/3/09,2009,US,Independence Day (substitute),"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
7/4/09,2009,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/7/09,2009,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/12/09,2009,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/09,2009,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/26/09,2009,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/09,2009,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/10,2010,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/18/10,2010,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/15/10,2010,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/31/10,2010,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/10,2010,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
7/5/10,2010,US,Independence Day (substitute),"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/6/10,2010,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/11/10,2010,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/10,2010,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/25/10,2010,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/24/10,2010,US,Christmas Day (substitute),Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/25/10,2010,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/31/10,2010,US,New Year's Day (substitute),"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/1/11,2011,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/17/11,2011,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/21/11,2011,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/30/11,2011,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/11,2011,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/5/11,2011,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/10/11,2011,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/11,2011,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/24/11,2011,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/11,2011,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/26/11,2011,US,Christmas Day (substitute),Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/12,2012,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/2/12,2012,US,New Year's Day (substitute),"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/16/12,2012,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/20/12,2012,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/28/12,2012,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/12,2012,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/3/12,2012,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/8/12,2012,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/12,2012,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/12/12,2012,US,Veterans Day (substitute),Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/22/12,2012,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/12,2012,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/13,2013,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/20/13,2013,US,Inauguration Day,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Federal Holiday,National holiday,"DC, MD (partly), VA (partly)",3
1/21/13,2013,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/18/13,2013,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/27/13,2013,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/13,2013,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/2/13,2013,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/14/13,2013,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/13,2013,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/28/13,2013,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/13,2013,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/14,2014,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/20/14,2014,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/17/14,2014,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/26/14,2014,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/14,2014,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/1/14,2014,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/13/14,2014,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/14,2014,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/27/14,2014,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/14,2014,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/15,2015,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/19/15,2015,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/16/15,2015,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/25/15,2015,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/3/15,2015,US,Independence Day (substitute),"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
7/4/15,2015,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/7/15,2015,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/12/15,2015,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/15,2015,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/26/15,2015,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/15,2015,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/16,2016,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/18/16,2016,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/15/16,2016,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/30/16,2016,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/16,2016,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/5/16,2016,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/10/16,2016,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/16,2016,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/24/16,2016,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/16,2016,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/26/16,2016,US,Christmas Day (substitute),Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/17,2017,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/2/17,2017,US,New Year's Day (substitute),"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/16/17,2017,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
1/20/17,2017,US,Inauguration Day,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Federal Holiday,National holiday,"DC, MD (partly), VA (partly)",3
2/20/17,2017,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/29/17,2017,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/17,2017,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/4/17,2017,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/9/17,2017,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/10/17,2017,US,Veterans Day (substitute),Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/11/17,2017,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/23/17,2017,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/17,2017,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/18,2018,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/15/18,2018,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/19/18,2018,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/28/18,2018,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/18,2018,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/3/18,2018,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/8/18,2018,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/18,2018,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/12/18,2018,US,Veterans Day (substitute),Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/22/18,2018,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/24/18,2018,US,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,Federal Holiday,National holiday,All,3
12/25/18,2018,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/19,2019,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/21/19,2019,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/18/19,2019,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/27/19,2019,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/4/19,2019,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/2/19,2019,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/14/19,2019,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/19,2019,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/28/19,2019,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/24/19,2019,US,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,Federal Holiday,National holiday,All,3
12/25/19,2019,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/20,2020,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/20/20,2020,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/17/20,2020,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/25/20,2020,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
7/3/20,2020,US,Independence Day (substitute),"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
7/4/20,2020,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/7/20,2020,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/12/20,2020,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/20,2020,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/26/20,2020,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/24/20,2020,US,Christmas Eve,Christmas Eve in the United States is on December 24 each year.,Federal Holiday,National holiday,All,3
12/25/20,2020,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/21,2021,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/18/21,2021,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
1/20/21,2021,US,Inauguration Day,"On Inauguration Day, the president and vice-president of the United States of America are sworn in and take office.",Federal Holiday,National holiday,"DC, MD (partly), VA (partly)",3
2/15/21,2021,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/31/21,2021,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
6/18/21,2021,US,Juneteenth (substitute),"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.",Federal Holiday,National holiday,All,3
6/19/21,2021,US,Juneteenth,"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.",Federal Holiday,National holiday,All,3
7/4/21,2021,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
7/5/21,2021,US,Independence Day (substitute),"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/6/21,2021,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/11/21,2021,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/21,2021,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/25/21,2021,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/24/21,2021,US,Christmas Day (substitute),Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/25/21,2021,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/31/21,2021,US,New Year's Day (substitute),"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/1/22,2022,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/17/22,2022,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/21/22,2022,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/30/22,2022,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
6/19/22,2022,US,Juneteenth,"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.",Federal Holiday,National holiday,All,3
6/20/22,2022,US,Juneteenth (substitute),"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.",Federal Holiday,National holiday,All,3
7/4/22,2022,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/5/22,2022,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/10/22,2022,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/11/22,2022,US,Veterans Day,Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
11/24/22,2022,US,Thanksgiving Day,Thanksgiving Day in the United States is traditionally a holiday to give thanks for the food collected at the end of the harvest season.,Federal Holiday,National holiday,All,3
12/25/22,2022,US,Christmas Day,Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
12/26/22,2022,US,Christmas Day (substitute),Christmas Day celebrates Jesus Christ's birth.,Federal Holiday,National holiday|Christian,All,3
1/1/23,2023,US,New Year's Day,"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/2/23,2023,US,New Year's Day (substitute),"New Year's Day is the first day of the Gregorian calendar, which is widely used in many countries such as the USA.",Federal Holiday,National holiday,All,3
1/16/23,2023,US,Martin Luther King Jr. Day,Martin Luther King Day marks the anniversary of the date of birth of the influential American civil right leader of the same name.,Federal Holiday,National holiday,All,3
2/20/23,2023,US,Presidents' Day,"Washington's Birthday, or Presidents' Day, honors the life and work of the first president of the United States, George Washington.",Federal Holiday,National holiday,All,3
5/29/23,2023,US,Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,Federal Holiday,National holiday,All,3
6/19/23,2023,US,Juneteenth,"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865.",Federal Holiday,National holiday,All,3
7/4/23,2023,US,Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.",Federal Holiday,National holiday,All,3
9/4/23,2023,US,Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,Federal Holiday,National holiday,All,3
10/9/23,2023,US,Columbus Day,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.,Federal Holiday,National holiday,All,3
11/10/23,2023,US,Veterans Day (substitute),Veterans Day in the USA is a holiday to honor all who have served in the United States Military Services.,Federal Holiday,National holiday,All,3
